001001101101110100 UUUUUUUUUUUUUUUUUU 000000000000000000 UUUUUUUUUUUUUUUUUU 001100100100001111 UUUUUUUUUUUUUUUUUU 
001001101101110100 000000000000000000 000000000000000000 000000000000000000 001100100100001111 000000000000000000 
001001101101110100 001001101101110100 000000000000000000 000100110110111010 001100100100001111 001100100100001111 
001001101101110100 001010111011100010 000000000000000000 000111010010010111 001100100100001111 001100100100001111 
001001101101110100 001011110101110100 000000000000000000 001000101001110011 001100100100001111 011001001000011110 
001001101101110100 001100011000011011 000000000000000000 001001011001001010 001100100100001111 100000100011001111 
001001101101110100 001100000101101001 000000000000000000 001001000000011010 001100100100001111 011100101000011001 
001001101101110100 001100001110101001 000000000000000000 001001001100011111 001100100100001111 011110100111101110 
001001101101110100 001100010011001111 000000000000000000 001001010010100110 001100100100001111 011111100111101000 
001001101101110100 001100010101100011 000000000000000000 001001010101101010 001100100100001111 100000000111100111 
001001101101110100 001100010100011001 000000000000000000 001001010100001000 001100100100001111 011111110111101000 
001001101101110100 001100010100111110 000000000000000000 001001010100111001 001100100100001111 011111111111100111 
001001101101110100 010101101001110111 000000000000000000 010101101001110111 001100100100001111 100000000011100110 
001001101101110100 001001101101110100 000000000000000000 000100110110111010 001100100100001111 001100100100001111 
001001101101110100 001010111011100010 000000000000000000 000111010010010111 001100100100001111 001100100100001111 
001001101101110100 001011110101110100 000000000000000000 001000101001110011 001100100100001111 011001001000011110 
001001101101110100 001100011000011011 000000000000000000 001001011001001010 001100100100001111 100000100011001111 
001001101101110100 001100000101101001 000000000000000000 001001000000011010 001100100100001111 011100101000011001 
001001101101110100 001100001110101001 000000000000000000 001001001100011111 001100100100001111 011110100111101110 
001001101101110100 001100010011001111 000000000000000000 001001010010100110 001100100100001111 011111100111101000 
001001101101110100 001100010101100011 000000000000000000 001001010101101010 001100100100001111 100000000111100111 
001001101101110100 001100010100011001 000000000000000000 001001010100001000 001100100100001111 011111110111101000 
001001101101110100 001100010100111110 000000000000000000 001001010100111001 001100100100001111 011111111111100111 
001001101101110100 010101101001110111 000000000000000000 010101101001110111 001100100100001111 100000000011100110 
001001101101110100 001001101101110100 000000000000000000 000100110110111010 001100100100001111 001100100100001111 
001001101101110100 001010111011100010 000000000000000000 000111010010010111 001100100100001111 001100100100001111 
001001101101110100 001011110101110100 000000000000000000 001000101001110011 001100100100001111 011001001000011110 
001001101101110100 001100011000011011 000000000000000000 001001011001001010 001100100100001111 100000100011001111 
001001101101110100 001100000101101001 000000000000000000 001001000000011010 001100100100001111 011100101000011001 
001001101101110100 001100001110101001 000000000000000000 001001001100011111 001100100100001111 011110100111101110 
001001101101110100 001100010011001111 000000000000000000 001001010010100110 001100100100001111 011111100111101000 
001001101101110100 001100010101100011 000000000000000000 001001010101101010 001100100100001111 100000000111100111 
001001101101110100 001100010100011001 000000000000000000 001001010100001000 001100100100001111 011111110111101000 
001001101101110100 001100010100111110 000000000000000000 001001010100111001 001100100100001111 011111111111100111 
001001101101110100 010101101001110111 000000000000000000 010101101001110111 001100100100001111 100000000011100110 
001001101101110100 001001101101110100 000000000000000000 000100110110111010 001100100100001111 001100100100001111 
001001101101110100 001010111011100010 000000000000000000 000111010010010111 001100100100001111 001100100100001111 
001001101101110100 001011110101110100 000000000000000000 001000101001110011 001100100100001111 011001001000011110 
001001101101110100 001100011000011011 000000000000000000 001001011001001010 001100100100001111 100000100011001111 
001001101101110100 001100000101101001 000000000000000000 001001000000011010 001100100100001111 011100101000011001 
001001101101110100 001100001110101001 000000000000000000 001001001100011111 001100100100001111 011110100111101110 
001001101101110100 001100010011001111 000000000000000000 001001010010100110 001100100100001111 011111100111101000 
001001101101110100 001100010101100011 000000000000000000 001001010101101010 001100100100001111 100000000111100111 
001001101101110100 001100010100011001 000000000000000000 001001010100001000 001100100100001111 011111110111101000 
001001101101110100 001100010100111110 000000000000000000 001001010100111001 001100100100001111 011111111111100111 
001001101101110100 010101101001110111 000000000000000000 010101101001110111 001100100100001111 100000000011100110 
001001101101110100 001001101101110100 000000000000000000 000100110110111010 001100100100001111 001100100100001111 
001001101101110100 001010111011100010 000000000000000000 000111010010010111 001100100100001111 001100100100001111 
001001101101110100 001011110101110100 000000000000000000 001000101001110011 001100100100001111 011001001000011110 
001001101101110100 001100011000011011 000000000000000000 001001011001001010 001100100100001111 100000100011001111 
